lang	status	visible_total	success.common	success.easy	success.normal	success.hard	timeup.easy	timeup.normal	timeup.hard
asl_gloss	OK	158	0	17	35	32	16	20	38
de	OK	158	1	17	35	32	16	20	38
en	OK	158	0	17	35	32	16	20	38
es	OK	158	0	17	35	32	16	20	38
fi	OK	158	0	17	35	32	16	20	38
fr	OK	158	0	17	35	32	16	20	38
hi	OK	158	0	17	35	32	16	20	38
is	OK	158	0	17	35	32	16	20	38
it	OK	158	0	17	35	32	16	20	38
ja	OK	158	0	17	35	32	16	20	38
ko	OK	158	0	17	35	32	16	20	38
la	OK	158	0	17	35	32	16	20	38
lzh	OK	158	0	17	35	32	16	20	38
nl	OK	158	0	17	35	32	16	20	38
pt	OK	158	0	17	35	32	16	20	38
ru	OK	158	0	17	35	32	16	20	38
sa	OK	158	0	17	35	32	16	20	38
sv	OK	158	0	17	35	32	16	20	38
zh_tw	OK	158	0	17	35	32	16	20	38
