lang	pool	kind	meta	value
de	outcome.success.easy.pool	COUNT	17	
de	outcome.success.normal.pool	COUNT	35	
de	outcome.success.hard.pool	COUNT	32	
de	outcome.timeup.easy.pool	COUNT	16	
de	outcome.timeup.normal.pool	COUNT	20	
de	outcome.timeup.hard.pool	COUNT	38	
sv	outcome.success.easy.pool	COUNT	17	
sv	outcome.success.normal.pool	COUNT	35	
sv	outcome.success.hard.pool	COUNT	32	
sv	outcome.timeup.easy.pool	COUNT	16	
sv	outcome.timeup.normal.pool	COUNT	20	
sv	outcome.timeup.hard.pool	COUNT	38	
hi	outcome.success.easy.pool	COUNT	17	
hi	outcome.success.normal.pool	COUNT	35	
hi	outcome.success.hard.pool	COUNT	32	
hi	outcome.timeup.easy.pool	COUNT	16	
hi	outcome.timeup.normal.pool	COUNT	20	
hi	outcome.timeup.hard.pool	COUNT	38	
pt	outcome.success.easy.pool	COUNT	17	
pt	outcome.success.normal.pool	COUNT	35	
pt	outcome.success.hard.pool	COUNT	32	
pt	outcome.timeup.easy.pool	COUNT	16	
pt	outcome.timeup.normal.pool	COUNT	20	
pt	outcome.timeup.hard.pool	COUNT	38	
