lang	key	expected	actual	status
asl_gloss	success.easy	17	-1	MISSING
asl_gloss	success.normal	35	-1	MISSING
asl_gloss	success.hard	32	-1	MISSING
asl_gloss	timeup.easy	16	-1	MISSING
asl_gloss	timeup.normal	20	-1	MISSING
asl_gloss	timeup.hard	38	-1	MISSING
de	success.easy	17	-1	MISSING
de	success.normal	35	-1	MISSING
de	success.hard	32	-1	MISSING
de	timeup.easy	16	-1	MISSING
de	timeup.normal	20	-1	MISSING
de	timeup.hard	38	-1	MISSING
en	success.easy	17	-1	MISSING
en	success.normal	35	-1	MISSING
en	success.hard	32	-1	MISSING
en	timeup.easy	16	-1	MISSING
en	timeup.normal	20	-1	MISSING
en	timeup.hard	38	-1	MISSING
es	success.easy	17	-1	MISSING
es	success.normal	35	-1	MISSING
es	success.hard	32	-1	MISSING
es	timeup.easy	16	-1	MISSING
es	timeup.normal	20	-1	MISSING
es	timeup.hard	38	-1	MISSING
fi	success.easy	17	-1	MISSING
fi	success.normal	35	-1	MISSING
fi	success.hard	32	-1	MISSING
fi	timeup.easy	16	-1	MISSING
fi	timeup.normal	20	-1	MISSING
fi	timeup.hard	38	-1	MISSING
fr	success.easy	17	-1	MISSING
fr	success.normal	35	-1	MISSING
fr	success.hard	32	-1	MISSING
fr	timeup.easy	16	-1	MISSING
fr	timeup.normal	20	-1	MISSING
fr	timeup.hard	38	-1	MISSING
hi	success.easy	17	-1	MISSING
hi	success.normal	35	-1	MISSING
hi	success.hard	32	-1	MISSING
hi	timeup.easy	16	-1	MISSING
hi	timeup.normal	20	-1	MISSING
hi	timeup.hard	38	-1	MISSING
is	success.easy	17	-1	MISSING
is	success.normal	35	-1	MISSING
is	success.hard	32	-1	MISSING
is	timeup.easy	16	-1	MISSING
is	timeup.normal	20	-1	MISSING
is	timeup.hard	38	-1	MISSING
it	success.easy	17	-1	MISSING
it	success.normal	35	-1	MISSING
it	success.hard	32	-1	MISSING
it	timeup.easy	16	-1	MISSING
it	timeup.normal	20	-1	MISSING
it	timeup.hard	38	-1	MISSING
ja	success.easy	17	-1	MISSING
ja	success.normal	35	-1	MISSING
ja	success.hard	32	-1	MISSING
ja	timeup.easy	16	-1	MISSING
ja	timeup.normal	20	-1	MISSING
ja	timeup.hard	38	-1	MISSING
ko	success.easy	17	-1	MISSING
ko	success.normal	35	-1	MISSING
ko	success.hard	32	-1	MISSING
ko	timeup.easy	16	-1	MISSING
ko	timeup.normal	20	-1	MISSING
ko	timeup.hard	38	-1	MISSING
la	success.easy	17	-1	MISSING
la	success.normal	35	-1	MISSING
la	success.hard	32	-1	MISSING
la	timeup.easy	16	-1	MISSING
la	timeup.normal	20	-1	MISSING
la	timeup.hard	38	-1	MISSING
lzh	success.easy	17	-1	MISSING
lzh	success.normal	35	-1	MISSING
lzh	success.hard	32	-1	MISSING
lzh	timeup.easy	16	-1	MISSING
lzh	timeup.normal	20	-1	MISSING
lzh	timeup.hard	38	-1	MISSING
nl	success.easy	17	-1	MISSING
nl	success.normal	35	-1	MISSING
nl	success.hard	32	-1	MISSING
nl	timeup.easy	16	-1	MISSING
nl	timeup.normal	20	-1	MISSING
nl	timeup.hard	38	-1	MISSING
pt	success.easy	17	-1	MISSING
pt	success.normal	35	-1	MISSING
pt	success.hard	32	-1	MISSING
pt	timeup.easy	16	-1	MISSING
pt	timeup.normal	20	-1	MISSING
pt	timeup.hard	38	-1	MISSING
ru	success.easy	17	-1	MISSING
ru	success.normal	35	-1	MISSING
ru	success.hard	32	-1	MISSING
ru	timeup.easy	16	-1	MISSING
ru	timeup.normal	20	-1	MISSING
ru	timeup.hard	38	-1	MISSING
sa	success.easy	17	-1	MISSING
sa	success.normal	35	-1	MISSING
sa	success.hard	32	-1	MISSING
sa	timeup.easy	16	-1	MISSING
sa	timeup.normal	20	-1	MISSING
sa	timeup.hard	38	-1	MISSING
sv	success.easy	17	-1	MISSING
sv	success.normal	35	-1	MISSING
sv	success.hard	32	-1	MISSING
sv	timeup.easy	16	-1	MISSING
sv	timeup.normal	20	-1	MISSING
sv	timeup.hard	38	-1	MISSING
zh_tw	success.easy	17	-1	MISSING
zh_tw	success.normal	35	-1	MISSING
zh_tw	success.hard	32	-1	MISSING
zh_tw	timeup.easy	16	-1	MISSING
zh_tw	timeup.normal	20	-1	MISSING
zh_tw	timeup.hard	38	-1	MISSING
