pool	index
outcome.success.easy.pool	4
outcome.success.easy.pool	5
outcome.success.easy.pool	6
outcome.success.easy.pool	7
outcome.success.easy.pool	8
outcome.success.easy.pool	9
outcome.success.easy.pool	10
outcome.success.easy.pool	11
outcome.success.easy.pool	12
outcome.success.easy.pool	13
outcome.success.easy.pool	14
outcome.success.easy.pool	15
outcome.success.easy.pool	16
outcome.success.easy.pool	17
outcome.success.hard.pool	4
outcome.success.hard.pool	5
outcome.success.hard.pool	6
outcome.success.hard.pool	7
outcome.success.hard.pool	8
outcome.success.hard.pool	9
outcome.success.hard.pool	10
outcome.success.hard.pool	11
outcome.success.hard.pool	12
outcome.success.hard.pool	13
outcome.success.hard.pool	14
outcome.success.hard.pool	15
outcome.success.hard.pool	16
outcome.success.hard.pool	17
outcome.success.hard.pool	18
outcome.success.hard.pool	19
outcome.success.hard.pool	20
outcome.success.hard.pool	21
outcome.success.hard.pool	22
outcome.success.hard.pool	23
outcome.success.hard.pool	24
outcome.success.hard.pool	25
outcome.success.hard.pool	26
outcome.success.hard.pool	27
outcome.success.hard.pool	28
outcome.success.hard.pool	29
outcome.success.hard.pool	30
outcome.success.hard.pool	31
outcome.success.hard.pool	32
outcome.success.normal.pool	4
outcome.success.normal.pool	5
outcome.success.normal.pool	6
outcome.success.normal.pool	7
outcome.success.normal.pool	8
outcome.success.normal.pool	9
outcome.success.normal.pool	10
outcome.success.normal.pool	11
outcome.success.normal.pool	12
outcome.success.normal.pool	13
outcome.success.normal.pool	14
outcome.success.normal.pool	15
outcome.success.normal.pool	16
outcome.success.normal.pool	17
outcome.success.normal.pool	18
outcome.success.normal.pool	19
outcome.success.normal.pool	20
outcome.success.normal.pool	21
outcome.success.normal.pool	22
outcome.success.normal.pool	23
outcome.success.normal.pool	24
outcome.success.normal.pool	25
outcome.success.normal.pool	26
outcome.success.normal.pool	27
outcome.success.normal.pool	28
outcome.success.normal.pool	29
outcome.success.normal.pool	30
outcome.success.normal.pool	31
outcome.success.normal.pool	32
outcome.success.normal.pool	33
outcome.success.normal.pool	34
outcome.success.normal.pool	35
outcome.timeup.easy.pool	4
outcome.timeup.easy.pool	5
outcome.timeup.easy.pool	6
outcome.timeup.easy.pool	7
outcome.timeup.easy.pool	8
outcome.timeup.easy.pool	9
outcome.timeup.easy.pool	10
outcome.timeup.easy.pool	11
outcome.timeup.easy.pool	12
outcome.timeup.easy.pool	13
outcome.timeup.easy.pool	14
outcome.timeup.easy.pool	15
outcome.timeup.easy.pool	16
outcome.timeup.hard.pool	4
outcome.timeup.hard.pool	5
outcome.timeup.hard.pool	6
outcome.timeup.hard.pool	7
outcome.timeup.hard.pool	8
outcome.timeup.hard.pool	9
outcome.timeup.hard.pool	10
outcome.timeup.hard.pool	11
outcome.timeup.hard.pool	12
outcome.timeup.hard.pool	13
outcome.timeup.hard.pool	14
outcome.timeup.hard.pool	15
outcome.timeup.hard.pool	16
outcome.timeup.hard.pool	17
outcome.timeup.hard.pool	18
outcome.timeup.hard.pool	19
outcome.timeup.hard.pool	20
outcome.timeup.hard.pool	21
outcome.timeup.hard.pool	22
outcome.timeup.hard.pool	23
outcome.timeup.hard.pool	24
outcome.timeup.hard.pool	25
outcome.timeup.hard.pool	26
outcome.timeup.hard.pool	27
outcome.timeup.hard.pool	28
outcome.timeup.hard.pool	29
outcome.timeup.hard.pool	30
outcome.timeup.hard.pool	31
outcome.timeup.hard.pool	32
outcome.timeup.hard.pool	33
outcome.timeup.hard.pool	34
outcome.timeup.hard.pool	35
outcome.timeup.hard.pool	36
outcome.timeup.hard.pool	37
outcome.timeup.hard.pool	38
outcome.timeup.normal.pool	4
outcome.timeup.normal.pool	5
outcome.timeup.normal.pool	6
outcome.timeup.normal.pool	7
outcome.timeup.normal.pool	8
outcome.timeup.normal.pool	9
outcome.timeup.normal.pool	10
outcome.timeup.normal.pool	11
outcome.timeup.normal.pool	12
outcome.timeup.normal.pool	13
outcome.timeup.normal.pool	14
outcome.timeup.normal.pool	15
outcome.timeup.normal.pool	16
outcome.timeup.normal.pool	17
outcome.timeup.normal.pool	18
outcome.timeup.normal.pool	19
outcome.timeup.normal.pool	20
